,handle,count,compound,positive,negative,neutral,date
17,BBC,18,0.8384,0.345,0.0,0.655,1520275377.0
282,nytimes,83,0.0,0.0,0.0,1.0,1520275446.0
493,CBSNews,94,0.0,0.0,0.0,1.0,1520275685.0
16,BBC,17,0.7717,0.251,0.0,0.749,1520276411.0
281,nytimes,82,0.0,0.0,0.0,1.0,1520276440.0
492,CBSNews,93,0.4717,0.289,0.0,0.711,1520276584.0
280,nytimes,81,-0.1531,0.108,0.14,0.753,1520277008.0
491,CBSNews,92,-0.7579,0.0,0.245,0.755,1520277661.0
279,nytimes,80,-0.2732,0.111,0.151,0.738,1520278007.0
199,FoxNews,100,-0.5106,0.0,0.202,0.798,1520278150.0
490,CBSNews,91,0.0,0.0,0.0,1.0,1520278501.0
15,BBC,16,0.7845,0.33,0.0,0.67,1520278675.0
489,CBSNews,90,0.0,0.0,0.0,1.0,1520278861.0
198,FoxNews,99,0.0,0.0,0.0,1.0,1520278883.0
278,nytimes,79,-0.3182,0.0,0.187,0.813,1520278887.0
197,FoxNews,98,0.296,0.121,0.0,0.879,1520278907.0
488,CBSNews,89,0.4767,0.194,0.0,0.806,1520279101.0
196,FoxNews,97,-0.3818,0.21,0.266,0.524,1520279146.0
277,nytimes,78,0.2732,0.231,0.0,0.769,1520279409.0
195,FoxNews,96,0.5859,0.226,0.0,0.774,1520279521.0
14,BBC,15,0.4199,0.157,0.0,0.843,1520279642.0
194,FoxNews,95,0.8885,0.382,0.0,0.618,1520280007.0
487,CBSNews,88,0.3612,0.197,0.102,0.701,1520280061.0
344,BreitbartNews,45,0.0,0.0,0.0,1.0,1520280188.0
486,CBSNews,87,0.0258,0.131,0.127,0.742,1520280358.0
193,FoxNews,94,0.0,0.0,0.0,1.0,1520280556.0
485,CBSNews,86,-0.296,0.0,0.104,0.896,1520280630.0
484,CBSNews,85,-0.4767,0.0,0.177,0.823,1520280757.0
192,FoxNews,93,-0.5994,0.0,0.17,0.83,1520280798.0
483,CBSNews,84,0.25,0.1,0.0,0.9,1520280868.0
482,CBSNews,83,0.4019,0.153,0.0,0.847,1520280926.0
481,CBSNews,82,-0.34,0.0,0.112,0.888,1520281006.0
480,CBSNews,81,0.4215,0.135,0.0,0.865,1520281109.0
191,FoxNews,92,0.4939,0.138,0.0,0.862,1520281135.0
479,CBSNews,80,0.4215,0.189,0.066,0.746,1520281145.0
478,CBSNews,79,-0.4404,0.205,0.362,0.432,1520281261.0
276,nytimes,77,0.4767,0.256,0.0,0.744,1520281322.0
190,FoxNews,91,0.4767,0.186,0.0,0.814,1520281362.0
343,BreitbartNews,44,-0.4019,0.112,0.224,0.664,1520281365.0
189,FoxNews,90,0.8481,0.325,0.0,0.675,1520281516.0
13,BBC,14,0.0,0.0,0.0,1.0,1520281992.0
477,CBSNews,78,0.0,0.0,0.0,1.0,1520282036.0
12,BBC,13,0.6369,0.189,0.0,0.811,1520282044.0
188,FoxNews,89,-0.2247,0.132,0.18,0.688,1520282063.0
476,CBSNews,77,-0.6908,0.0,0.251,0.749,1520282149.0
275,nytimes,76,0.0,0.0,0.0,1.0,1520282413.0
475,CBSNews,76,0.4019,0.162,0.0,0.838,1520282461.0
342,BreitbartNews,43,0.0,0.0,0.0,1.0,1520282466.0
474,CBSNews,75,0.0,0.0,0.0,1.0,1520282638.0
187,FoxNews,88,-0.4019,0.056,0.129,0.815,1520282682.0
599,USATODAY,100,0.4588,0.158,0.0,0.842,1520283000.0
598,USATODAY,99,0.0772,0.215,0.206,0.579,1520283047.0
473,CBSNews,74,0.0,0.0,0.0,1.0,1520283275.0
274,nytimes,75,0.0,0.0,0.0,1.0,1520283404.0
186,FoxNews,87,-0.128,0.0,0.077,0.923,1520283516.0
341,BreitbartNews,42,0.0,0.0,0.0,1.0,1520283659.0
472,CBSNews,73,-0.34,0.0,0.175,0.825,1520283662.0
185,FoxNews,86,-0.296,0.0,0.145,0.855,1520283893.0
471,CBSNews,72,0.5046,0.14,0.0,0.86,1520283913.0
11,BBC,12,0.0,0.0,0.0,1.0,1520284039.0
273,nytimes,74,0.0,0.0,0.0,1.0,1520284206.0
470,CBSNews,71,0.4019,0.13,0.0,0.87,1520284252.0
469,CBSNews,70,-0.4767,0.0,0.134,0.866,1520284308.0
272,nytimes,73,0.296,0.135,0.086,0.779,1520284387.0
597,USATODAY,98,0.0,0.0,0.0,1.0,1520284394.0
596,USATODAY,97,0.0,0.0,0.0,1.0,1520284425.0
468,CBSNews,69,0.6808,0.248,0.0,0.752,1520284471.0
595,USATODAY,96,0.6604,0.303,0.101,0.596,1520284506.0
10,BBC,11,0.0,0.0,0.0,1.0,1520284623.0
184,FoxNews,85,-0.7579,0.113,0.418,0.469,1520284715.0
